,pop,fun,family,temp,rep,date,stage,num,count,per,fail,prop
2467,FF,pev_cerato,Cerato,RT,2467,D124,2,69,0,0,100,0
2468,FF,pev_cerato,Cerato,RT,2468,D124,2,335,29,8.656716418,91.34328358,0.086567164
2469,FF,pev_cerato,Cerato,RT,2469,D124,2,137,14,10.2189781,89.7810219,0.102189781
2470,FF,pev_cerato,Cerato,RT,2470,D124,2,109,0,0,100,0
2471,FF,pev_cerato,Cerato,GC,2471,D124,2,231,104,45.02164502,54.97835498,0.45021645
2472,FF,pev_cerato,Cerato,GC,2472,D124,2,260,94,36.15384615,63.84615385,0.361538462
2473,FF,pev_cerato,Cerato,GC,2473,D124,2,348,221,63.50574713,36.49425287,0.635057471
2474,FF,pev_cerato,Cerato,GC,2474,D124,2,236,21,8.898305085,91.10169492,0.088983051
2475,FF,pev_cerato,Cerato,GC,2475,D124,2,313,102,32.58785942,67.41214058,0.325878594
2476,FF,pev_cerato,Cerato,GC,2476,D124,2,262,90,34.35114504,65.64885496,0.34351145
2477,FF,pev_cerato,Cerato,GC,2477,D124,2,325,118,36.30769231,63.69230769,0.363076923
2478,FF,pev_cerato,Cerato,GC,2478,D124,2,337,128,37.98219585,62.01780415,0.379821958
2479,FF,pev_cerato,Cerato,GC,2479,D124,2,303,85,28.05280528,71.94719472,0.280528053
2480,FF,pev_cerato,Cerato,GC,2480,D124,2,344,169,49.12790698,50.87209302,0.49127907
2481,FF,Control,Control,RT,2481,D124,2,173,1,0.578034682,99.42196532,0.005780347
2482,FF,Control,Control,RT,2482,D124,2,138,0,0,100,0
2483,FF,Control,Control,RT,2483,D124,2,226,3,1.327433628,98.67256637,0.013274336
2484,FF,Control,Control,RT,2484,D124,2,205,8,3.902439024,96.09756098,0.03902439
2485,FF,Control,Control,RT,2485,D124,2,242,4,1.652892562,98.34710744,0.016528926
2486,FF,Control,Control,RT,2486,D124,2,95,0,0,100,0
2487,FF,Control,Control,RT,2487,D124,2,284,12,4.225352113,95.77464789,0.042253521
2488,FF,Control,Control,RT,2488,D124,2,228,2,0.877192982,99.12280702,0.00877193
2489,FF,Control,Control,RT,2489,D124,2,130,2,1.538461538,98.46153846,0.015384615
2490,FF,Control,Control,RT,2490,D124,2,298,5,1.677852349,98.32214765,0.016778523
2491,FF,Control,Control,GC,2491,D124,2,198,0,0,100,0
2492,FF,Control,Control,GC,2492,D124,2,364,37,10.16483516,89.83516484,0.101648352
2493,FF,Control,Control,GC,2493,D124,2,570,0,0,100,0
2494,FF,Control,Control,GC,2494,D124,2,461,0,0,100,0
2495,FF,Control,Control,GC,2495,D124,2,520,70,13.46153846,86.53846154,0.134615385
2496,FF,Control,Control,GC,2496,D124,2,0,0,0,100,0
2497,FF,Control,Control,GC,2497,D124,2,0,0,0,100,0
2498,FF,Control,Control,GC,2498,D124,2,342,83,24.26900585,75.73099415,0.242690058
2499,FF,Control,Control,GC,2499,D124,2,0,0,0,100,0
2500,FF,Control,Control,GC,2500,D124,2,0,0,0,100,0
2501,MX,pev_tul,Tul,RT,2501,D124,2,0,0,0,100,0
2502,MX,pev_tul,Tul,RT,2502,D124,2,201,2,0.995024876,99.00497512,0.009950249
2503,MX,pev_tul,Tul,RT,2503,D124,2,191,4,2.094240838,97.90575916,0.020942408
2504,MX,pev_tul,Tul,RT,2504,D124,2,165,2,1.212121212,98.78787879,0.012121212
2505,MX,pev_tul,Tul,RT,2505,D124,2,78,2,2.564102564,97.43589744,0.025641026
2506,MX,pev_tul,Tul,RT,2506,D124,2,106,9,8.490566038,91.50943396,0.08490566
2507,MX,pev_tul,Tul,RT,2507,D124,2,64,1,1.5625,98.4375,0.015625
2508,MX,pev_tul,Tul,RT,2508,D124,2,97,2,2.06185567,97.93814433,0.020618557
2509,MX,pev_tul,Tul,RT,2509,D124,2,62,0,0,100,0
2510,MX,pev_tul,Tul,RT,2510,D124,2,44,5,11.36363636,88.63636364,0.113636364
2511,MX,pev_tul,Tul,GC,2511,D124,2,167,61,36.52694611,63.47305389,0.365269461
2512,MX,pev_tul,Tul,GC,2512,D124,2,237,68,28.69198312,71.30801688,0.286919831
2513,MX,pev_tul,Tul,GC,2513,D124,2,116,0,0,100,0
2514,MX,pev_tul,Tul,GC,2514,D124,2,181,51,28.17679558,71.82320442,0.281767956
2515,MX,pev_tul,Tul,GC,2515,D124,2,230,70,30.43478261,69.56521739,0.304347826
2516,MX,pev_tul,Tul,GC,2516,D124,2,70,38,54.28571429,45.71428571,0.542857143
2517,MX,pev_tul,Tul,GC,2517,D124,2,0,0,0,100,0
2518,MX,pev_tul,Tul,GC,2518,D124,2,124,47,37.90322581,62.09677419,0.379032258
2519,MX,pev_tul,Tul,GC,2519,D124,2,103,52,50.48543689,49.51456311,0.504854369
2520,MX,pev_tul,Tul,GC,2520,D124,2,74,29,39.18918919,60.81081081,0.391891892
2521,MX,pff_tul,Tul,RT,2521,D124,2,179,11,6.145251397,93.8547486,0.061452514
2522,MX,pff_tul,Tul,RT,2522,D124,2,0,0,0,100,0
2523,MX,pff_tul,Tul,RT,2523,D124,2,254,6,2.362204724,97.63779528,0.023622047
2524,MX,pff_tul,Tul,RT,2524,D124,2,0,0,0,100,0
2525,MX,pff_tul,Tul,RT,2525,D124,2,0,0,0,100,0
2526,MX,pff_tul,Tul,RT,2526,D124,2,109,4,3.669724771,96.33027523,0.036697248
2527,MX,pff_tul,Tul,RT,2527,D124,2,78,8,10.25641026,89.74358974,0.102564103
2528,MX,pff_tul,Tul,RT,2528,D124,2,109,6,5.504587156,94.49541284,0.055045872
2529,MX,pff_tul,Tul,RT,2529,D124,2,104,11,10.57692308,89.42307692,0.105769231
2530,MX,pff_tul,Tul,RT,2530,D124,2,111,6,5.405405405,94.59459459,0.054054054
