"","pop","fun","family","temp","rep","date","stage","num","count","per","per_arc","fail","fail_arc","per_arc_pi","per_log"
"2201","FF","pev_tul","Tul","RT",2201,"D124",1,209,82,39.2344497607655,0.676893016847117,60.7655502392345,0.89390330994778,38.7831130472175,3.69472358786809
"2202","FF","pev_tul","Tul","RT",2202,"D124",1,179,73,40.7821229050279,0.692689083477289,59.2178770949721,0.878107243317608,39.6881609980338,3.73246856635091
"2203","FF","pev_tul","Tul","RT",2203,"D124",1,133,0,0,0,100,1.5707963267949,0,0
"2204","FF","pev_tul","Tul","RT",2204,"D124",1,200,107,53.5,0.820426809941474,46.5,0.750369516853423,47.0069936090282,3.9982007016692
"2205","FF","pev_tul","Tul","RT",2205,"D124",1,188,62,32.9787234042553,0.611713451750168,67.0212765957447,0.959082875044729,35.0485990566642,3.52573454650495
"2206","FF","pev_tul","Tul","RT",2206,"D124",1,133,67,50.3759398496241,0.789157597315836,49.6240601503759,0.781638729479061,45.2153996968819,3.93916996655902
"2207","FF","pev_tul","Tul","RT",2207,"D124",1,258,115,44.5736434108527,0.731027508308293,55.4263565891473,0.839768818486604,41.8847909340299,3.81932955404058
"2208","FF","pev_tul","Tul","RT",2208,"D124",1,170,69,40.5882352941176,0.690715658375245,59.4117647058824,0.880080668419651,39.5750920685015,3.72781732184036
"2209","FF","pev_tul","Tul","RT",2209,"D124",1,175,46,26.2857142857143,0.538321909419415,73.7142857142857,1.03247441737548,30.8435734291563,3.30636327899132
"2210","FF","pev_tul","Tul","RT",2210,"D124",1,124,0,0,0,100,1.5707963267949,0,0
"2211","FF","pev_tul","Tul","GC",2211,"D124",1,184,44,23.9130434782609,0.510954027575901,76.0869565217391,1.059842299219,29.2755093053102,3.21539150078559
"2212","FF","pev_tul","Tul","GC",2212,"D124",1,169,69,40.8284023668639,0.693159907576754,59.1715976331361,0.877636419218143,39.7151372318262,3.73357559124788
"2213","FF","pev_tul","Tul","GC",2213,"D124",1,159,65,40.8805031446541,0.693689855881876,59.1194968553459,0.87710647091302,39.7455010330698,3.73482039989039
"2214","FF","pev_tul","Tul","GC",2214,"D124",1,196,95,48.469387755102,0.770089649354243,51.530612244898,0.800706677440654,44.1228867547076,3.90135404907858
"2215","FF","pev_tul","Tul","GC",2215,"D124",1,184,55,29.8913043478261,0.578453157963558,70.1086956521739,0.992343168831339,33.1429245973262,3.43047473160801
"2216","FF","pev_tul","Tul","GC",2216,"D124",1,172,52,30.2325581395349,0.58217436475006,69.7674418604651,0.988621962044837,33.3561340408882,3.44146108082967
"2217","FF","pev_tul","Tul","GC",2217,"D124",1,163,40,24.5398773006135,0.518269236497454,75.4601226993865,1.05252709029744,29.6946399027716,3.24024104638821
"2218","FF","pev_tul","Tul","GC",2218,"D124",1,315,85,26.984126984127,0.546221781072819,73.015873015873,1.02457454572208,31.2962027335914,3.33163745600634
"2219","FF","pev_tul","Tul","GC",2219,"D124",1,183,43,23.4972677595628,0.506065660171084,76.5027322404372,1.06473066662381,28.9954264843049,3.19856159131402
"2220","FF","pev_tul","Tul","GC",2220,"D124",1,227,66,29.0748898678414,0.569500399609199,70.9251101321586,1.0012959271857,32.6299693286209,3.40369059993688
"2221","FF","pff_tul","Tul","RT",2221,"D124",1,203,142,69.9507389162562,0.990619229861213,30.0492610837438,0.580177096933684,56.7583009755475,4.26198581815726
"2222","FF","pff_tul","Tul","RT",2222,"D124",1,135,0,0,0,100,1.5707963267949,0,0
"2223","FF","pff_tul","Tul","RT",2223,"D124",1,0,0,0,0,100,1.5707963267949,0,0
"2224","FF","pff_tul","Tul","RT",2224,"D124",1,220,118,53.6363636363636,0.821793932399153,46.3636363636364,0.749002394395743,47.0853239559308,4.00069966173684
"2225","FF","pff_tul","Tul","RT",2225,"D124",1,0,0,0,0,100,1.5707963267949,0,0
"2226","FF","pff_tul","Tul","RT",2226,"D124",1,203,128,63.0541871921182,0.917470521170291,36.9458128078818,0.653325805624606,52.5671886907257,4.15972940000953
"2227","FF","pff_tul","Tul","RT",2227,"D124",1,183,76,41.5300546448087,0.70028829860956,58.4699453551913,0.870508028185337,40.1235639527249,3.75021099411797
"2228","FF","pff_tul","Tul","RT",2228,"D124",1,170,77,45.2941176470588,0.738269585917305,54.7058823529412,0.832526740877591,42.2997314159325,3.83501490436119
"2229","FF","pff_tul","Tul","RT",2229,"D124",1,141,49,34.7517730496454,0.630447566227719,65.2482269503546,0.940348760567178,36.1219847491427,3.57659986370446
"2230","FF","pff_tul","Tul","RT",2230,"D124",1,155,67,43.2258064516129,0.717447253310261,56.7741935483871,0.853349073484636,41.1066996379312,3.78930847507717
"2231","FF","pff_tul","Tul","GC",2231,"D124",1,305,0,0,0,100,1.5707963267949,0,0
"2232","FF","pff_tul","Tul","GC",2232,"D124",1,379,86,22.6912928759894,0.496503088820986,77.3087071240106,1.07429323797391,28.4475315046515,3.16510759143838
"2233","FF","pff_tul","Tul","GC",2233,"D124",1,276,78,28.2608695652174,0.560499733185269,71.7391304347826,1.01029659360963,32.1142691297247,3.37625111371558
"2234","FF","pff_tul","Tul","GC",2234,"D124",1,189,62,32.8042328042328,0.609856451948591,67.1957671957672,0.960939874846306,34.9422008054771,3.5205860255427
"2235","FF","pff_tul","Tul","GC",2235,"D124",1,290,0,0,0,100,1.5707963267949,0,0
"2236","FF","pff_tul","Tul","GC",2236,"D124",1,266,0,0,0,100,1.5707963267949,0,0
"2237","FF","pff_tul","Tul","GC",2237,"D124",1,385,79,20.5194805194805,0.47010997422716,79.4805194805195,1.10068635256774,26.9353174302202,3.06895859557288
