"","pop","fun","family","temp","rep","date","stage","num","count","per","fail","prop","success","ffun","ftemp","fpop","Failure","E1","Success","PRes2","PER","PERT"
"2430","FF","pff_tul","Tul","RT",2430,"D124",2,155,8,5.161290323,94.83870968,0.051612903,0.0516129032258065,"pff_tul","RT","FF",147,-0.036623360642965,0.0516129032258065,1.39918075259651,0.05161290323,0.0541898405677586
"2431","FF","pff_tul","Tul","GC",2431,"D124",2,305,0,0,100,0,0,"pff_tul","GC","FF",305,-0.27516852036736,0,-2.86143818846439,0,0.0028735632183908
"2432","FF","pff_tul","Tul","GC",2432,"D124",2,379,133,35.09234828,64.90765172,0.350923483,0.350923482849604,"pff_tul","GC","FF",246,1.04442888041787,0.350923482849604,0.632998628076737,0.3509234828,0.351780244393103
"2433","FF","pff_tul","Tul","GC",2433,"D124",2,276,61,22.10144928,77.89855072,0.221014493,0.221014492753623,"pff_tul","GC","FF",215,0.55592476500552,0.221014492753623,-0.660890751316975,0.2210144928,0.222617857783908
"2434","FF","pff_tul","Tul","GC",2434,"D124",2,189,54,28.57142857,71.42857143,0.285714286,0.285714285714286,"pff_tul","GC","FF",135,0.799219052013498,0.285714285714286,-0.0191739096989579,0.2857142857,0.286945812793678
"2435","FF","pff_tul","Tul","GC",2435,"D124",2,290,0,0,100,0,0,"pff_tul","GC","FF",290,-0.27516852036736,0,-2.85675786546018,0,0.0028735632183908
"2436","FF","pff_tul","Tul","GC",2436,"D124",2,266,0,0,100,0,0,"pff_tul","GC","FF",266,-0.27516852036736,0,-2.8482307943455,0,0.0028735632183908
"2437","FF","pff_tul","Tul","GC",2437,"D124",2,385,146,37.92207792,62.07792208,0.379220779,0.379220779220779,"pff_tul","GC","FF",239,1.15083680296767,0.379220779220779,0.916588930330978,0.3792207792,0.379914912652874
"2438","FF","pff_tul","Tul","GC",2438,"D124",2,269,0,0,100,0,0,"pff_tul","GC","FF",269,-0.27516852036736,0,-2.84937543840599,0,0.0028735632183908
"2441","FF","pff_cerato","Cerato","RT",2441,"D124",2,127,15,11.81102362,88.18897638,0.118110236,0.118110236220472,"pff_cerato","RT","FF",112,-0.0871630034175079,0.118110236220472,0.438963840699597,0.1181102362,0.120305004957471
"2442","FF","pff_cerato","Cerato","RT",2442,"D124",2,274,16,5.839416058,94.16058394,0.058394161,0.0583941605839416,"pff_cerato","RT","FF",258,-0.252733824721962,0.0583941605839416,-1.07512257494755,0.05839416058,0.0609321251743678
"2443","FF","pff_cerato","Cerato","RT",2443,"D124",2,179,26,14.52513966,85.47486034,0.145251397,0.145251396648045,"pff_cerato","RT","FF",153,-0.0119104994321511,0.145251396648045,1.13922898149432,0.1452513966,0.147290181677011
"2444","FF","pff_cerato","Cerato","RT",2444,"D124",2,181,22,12.15469613,87.84530387,0.121546961,0.121546961325967,"pff_cerato","RT","FF",159,-0.0776342225742126,0.121546961325967,0.551734783091453,0.1215469613,0.123721978763793
"2445","FF","pff_cerato","Cerato","RT",2445,"D124",2,286,27,9.440559441,90.55944056,0.094405594,0.0944055944055944,"pff_cerato","RT","FF",259,-0.152887299080763,0.0944055944055944,-0.130585576927496,0.09440559441,0.096736596740977
"2446","FF","pff_cerato","Cerato","RT",2446,"D124",2,243,30,12.34567901,87.65432099,0.12345679,0.123456790123457,"pff_cerato","RT","FF",213,-0.072338966318944,0.123456790123457,0.623719109335089,0.1234567901,0.125620831536207
"2447","FF","pff_cerato","Cerato","RT",2447,"D124",2,222,34,15.31531532,84.68468468,0.153153153,0.153153153153153,"pff_cerato","RT","FF",188,0.00999817953622571,0.153153153153153,1.37654103260399,0.1531531532,0.155146525882759
"2448","FF","pff_cerato","Cerato","RT",2448,"D124",2,255,25,9.803921569,90.19607843,0.098039216,0.0980392156862745,"pff_cerato","RT","FF",230,-0.142812597195339,0.0980392156862745,-0.0343256199634011,0.09803921569,0.100349335140057
"2449","FF","pff_cerato","Cerato","RT",2449,"D124",2,278,36,12.94964029,87.05035971,0.129496403,0.129496402877698,"pff_cerato","RT","FF",242,-0.0555933305537903,0.129496402877698,0.792275957661927,0.1294964029,0.131625733917816
"2450","FF","pff_cerato","Cerato","RT",2450,"D124",2,249,23,9.236947791,90.76305221,0.092369478,0.0923694779116466,"pff_cerato","RT","FF",226,-0.158532704906186,0.0923694779116466,-0.181403323649376,0.09236947791,0.0947121820599425
"2451","FF","pff_cerato","Cerato","GC",2451,"D124",2,138,65,47.10144928,52.89855072,0.471014493,0.471014492753623,"pff_cerato","GC","FF",73,-0.105430869205548,0.471014492753623,0.0285181334680099,0.4710144928,0.471181076174713
"2452","FF","pff_cerato","Cerato","GC",2452,"D124",2,120,61,50.83333333,49.16666667,0.508333333,0.508333333333333,"pff_cerato","GC","FF",59,-0.0311376682234257,0.508333333333333,0.256576875331411,0.5083333333,0.508285440579885
"2453","FF","pff_cerato","Cerato","GC",2453,"D124",2,204,135,66.17647059,33.82352941,0.661764706,0.661764705882353,"pff_cerato","GC","FF",69,0.274308793907001,0.661764705882353,1.21228963582476,0.6617647059,0.660835023682184
"2454","FF","pff_cerato","Cerato","GC",2454,"D124",2,188,108,57.44680851,42.55319149,0.574468085,0.574468085106383,"pff_cerato","GC","FF",80,0.100521363556519,0.574468085106383,0.669466195911137,0.5744680851,0.574040107599425
"2455","FF","pff_cerato","Cerato","GC",2455,"D124",2,223,53,23.76681614,76.23318386,0.237668161,0.237668161434978,"pff_cerato","GC","FF",170,-0.569969575791063,0.237668161434978,-1.42152368278062,0.2376681614,0.239175815644828
"2456","FF","pff_cerato","Cerato","GC",2456,"D124",2,161,81,50.31055901,49.68944099,0.50310559,0.503105590062112,"pff_cerato","GC","FF",80,-0.041544898754624,0.503105590062112,0.226634349852245,0.5031055901,0.503087741881034
"2457","FF","pff_cerato","Cerato","GC",2457,"D124",2,124,67,54.03225806,45.96774194,0.540322581,0.540322580645161,"pff_cerato","GC","FF",57,0.0325455423770138,0.540322580645161,0.45268734965416,0.5403225806,0.540090841631034
"2458","FF","pff_cerato","Cerato","GC",2458,"D124",2,147,86,58.50340136,41.49659864,0.585034014,0.585034013605442,"pff_cerato","GC","FF",61,0.121555689358073,0.585034013605442,0.730264314674804,0.5850340136,0.584545312372414
"2459","FF","pff_cerato","Cerato","GC",2459,"D124",2,124,74,59.67741935,40.32258065,0.596774194,0.596774193548387,"pff_cerato","GC","FF",50,0.144927678765862,0.596774193548387,0.798254139955749,0.5967741935,0.596218019974138
"2460","FF","pff_cerato","Cerato","GC",2460,"D124",2,143,87,60.83916084,39.16083916,0.608391608,0.608391608391608,"pff_cerato","GC","FF",56,0.168055271383816,0.608391608391608,0.87330573988593,0.6083916084,0.607768668121839
"2461","FF","pev_cerato","Cerato","RT",2461,"D124",2,153,18,11.76470588,88.23529412,0.117647059,0.117647058823529,"pev_cerato","RT","FF",135,0.187894335145323,0.117647058823529,1.31737483317204,0.1176470588,0.119844489496552
"2462","FF","pev_cerato","Cerato","RT",2462,"D124",2,170,13,7.647058824,92.35294118,0.076470588,0.0764705882352941,"pev_cerato","RT","FF",157,0.0289491638160889,0.0764705882352941,0.0650129003023277,0.07647058824,0.0789046653190805
"2463","FF","pev_cerato","Cerato","RT",2463,"D124",2,161,15,9.316770186,90.68322981,0.093167702,0.093167701863354,"pev_cerato","RT","FF",146,0.0934016423539819,0.093167701863354,0.578006429937266,0.09316770186,0.095505818515977
"2464","FF","pev_cerato","Cerato","RT",2464,"D124",2,154,11,7.142857143,92.85714286,0.071428571,0.0714285714285714,"pev_cerato","RT","FF",143,0.00948648974977799,0.0714285714285714,-0.089982371477393,0.07142857143,0.0738916256171839
"2465","FF","pev_cerato","Cerato","RT",2465,"D124",2,50,0,0,100,0,0,"pev_cerato","RT","FF",50,-0.266234726015922,0,-1.66437707013666,0,0.0028735632183908
"2466","FF","pev_cerato","Cerato","RT",2466,"D124",2,150,5,3.333333333,96.66666667,0.033333333,0.0333333333333333,"pev_cerato","RT","FF",145,-0.137564825340703,0.0333333333333333,-1.24463169782517,0.03333333333,0.0360153256671839
"2467","FF","pev_cerato","Cerato","RT",2467,"D124",2,69,0,0,100,0,0,"pev_cerato","RT","FF",69,-0.266234726015922,0,-1.84715043581125,0,0.0028735632183908
