,pop,fun,family,temp,rep,date,stage,num,count,count,total_count,per_old,per,per_arc,fail,fail_arc,per_arc_pi,per_log,ffun,ftemp,fpop,success_old,Failure_old,PRes2,PER,PERT,E1,PER.01,PER.01.flip,Success_old,success1_old
21,FF,pff_tul,Tul,RT,2221,D124,1,203,142,1,143,69.95073892,0.704433498,0.99061923,30.04926108,0.580177097,56.75830098,4.261985818,pff_tul,RT,FF,0.699507389,61,1.465619795,0.699507389,0.698360795,5.467827067,1,0,0.699507389,142
22,FF,pff_tul,Tul,RT,2222,D124,1,135,0,0,0,0,0,0,100,1.570796327,0,0,pff_tul,RT,FF,0,135,-2.769471078,0,0.002873563,-11.79802348,0,1,0,0
24,FF,pff_tul,Tul,RT,2224,D124,1,220,118,8,126,53.63636364,0.572727273,0.821793932,46.36363636,0.749002394,47.08532396,4.000699662,pff_tul,RT,FF,0.536363636,102,0.472037384,0.536363636,0.53615465,0.851981135,1,0,0.536363636,118
26,FF,pff_tul,Tul,RT,2226,D124,1,203,128,7,135,63.05418719,0.665024631,0.917470521,36.94581281,0.653325806,52.56718869,4.1597294,pff_tul,RT,FF,0.630541872,75,1.045290034,0.630541872,0.629791631,3.502382468,1,0,0.630541872,128
27,FF,pff_tul,Tul,RT,2227,D124,1,183,76,4,80,41.53005464,0.43715847,0.700288299,58.46994536,0.870508028,40.12356395,3.750210994,pff_tul,RT,FF,0.415300546,107,-0.265967751,0.415300546,0.415787325,-2.498763915,1,0,0.415300546,76
28,FF,pff_tul,Tul,RT,2228,D124,1,170,77,5,82,45.29411765,0.482352941,0.738269586,54.70588235,0.832526741,42.29973142,3.835014904,pff_tul,RT,FF,0.452941176,93,-0.037001477,0.452941177,0.45321163,-1.426712822,1,0,0.452941176,77
29,FF,pff_tul,Tul,RT,2229,D124,1,141,49,8,57,34.75177305,0.404255319,0.630447566,65.24822695,0.940348761,36.12198475,3.576599864,pff_tul,RT,FF,0.34751773,92,-0.673676722,0.347517731,0.348394065,-3.803297529,1,0,0.34751773,49
30,FF,pff_tul,Tul,RT,2230,D124,1,155,67,8,75,43.22580645,0.483870968,0.717447253,56.77419355,0.853349073,41.10669964,3.789308475,pff_tul,RT,FF,0.432258065,88,-0.162187209,0.432258065,0.432647386,-1.877381872,1,0,0.432258065,67
31,FF,pff_tul,Tul,GC,2231,D124,1,305,0,0,0,0,0,0,100,1.570796327,0,0,pff_tul,GC,FF,0,305,-2.734782072,0,0.002873563,-7.557594015,0,1,0,0
32,FF,pff_tul,Tul,GC,2232,D124,1,379,86,133,219,22.69129288,0.577836412,0.496503089,77.30870712,1.074293238,28.4475315,3.165107591,pff_tul,GC,FF,0.226912929,293,0.072814195,0.226912929,0.228482395,3.695098219,1,0,0.226912929,86
